Name,Field,Webpage
Syn Schmitt,Biomechanics & Biorobotics,https://www.ims.uni-stuttgart.de/institut/team/Schulte-im-Walde-00001/
Sabine Schulte im Walde,Natural Language Processing & Machine Learning,https://is.mpg.de/~bs
Bernhard Schölkopf,Machine Learning,https://www.visus.uni-stuttgart.de/en/team/by_working_group/working-group-prof.-sedlmair/
Michael Sedlmair,Visualization & Virtual/Augmented Reality,https://www.iris.uni-stuttgart.de/people/Sindermann/
Cornelia Sindermann,Computational Psychology & Human-Technology Interaction,https://www.itp4.uni-stuttgart.de/
Thomas Speck,Statistical Physics,https://www.ipvs.uni-stuttgart.de/departments/ac/
Steffen Staab,Knowledge Graphs & Machine Learning,https://www.isa.uni-stuttgart.de/institut/team/Steinwart-00002/?lang=en&/Steinwart/=
Ingo Steinwart,Machine Learning,https://www.simtech.uni-stuttgart.de/exc/people/Unger-00007/
Benjamin Unger,Energy-Based Control Systems & Data-Driven Model Reduction,https://www.isw.uni-stuttgart.de/institut/team/Verl/
Alexander Verl,Industrial Control Engineering,https://www.cvernade.com/
Claire Vernade,Machine Learning & Reinforcement Learning,https://www.tml.cs.uni-tuebingen.de/team/luxburg/
Ulrike von Luxburg,Machine Learning,https://www.visus.uni-stuttgart.de/en/workinggroups/weiskopf-group/
Daniel Weiskopf,Visualization,https://uni-tuebingen.de/en/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/neuronale-informationsverarbeitung/people/members/
Felix Wichmann,Perceptual Inference & Computational Neuroscience,https://uni-tuebingen.de/en/197812
Bob Williamson,Machine Learning,https://www.iris.uni-stuttgart.de/
Maria Wirzberger,Cognitive Science & Human-Computer Interaction,https://www.medizin.uni-tuebingen.de/de/medizinische-fakultaet/forschung/nachwuchsgruppen/mental-health-mapping
Thomas Wolfers,Machine Learning for Health Care,https://www.isw.uni-stuttgart.de/institut/team/Wortmann-00002/
Andreas Wortmann,Computational Cognitive Science & Robotics,https://www.icd.uni-stuttgart.de/team/Wortmann-00001/
Thomas Wortmann,Optimization & Machine Learning for Architectural Design,https://hmc-lab.com/
Charley Wu,Computational Cognitive Science & Social Learning,https://uni-tuebingen.de/
